Country_ID,Year,Total losses
LV,1983,73.88888888888889
LV,1984,69.33333333333333
LV,1985,64.77777777777777
LV,1986,60.22222222222222
LV,1987,55.66666666666667
LV,1988,51.11111111111112
LV,1989,46.55555555555556
LV,1990,42.0
LV,1991,37.44444444444444
LV,1992,32.88888888888889
LV,1993,28.333333333333336
LV,1994,23.77777777777778
LV,1995,19.22222222222223
LV,1996,14.666666666666671
LV,1997,10.111111111111114
LV,1998,5.555555555555557
LV,1999,1.0
LV,2000,0.5
LV,2001,0.0
LV,2002,0.0
LV,2003,0.0
LV,2004,269.5
LV,2005,539.0
LV,2006,0.0
LV,2007,0.0
LV,2008,0.0
LV,2009,0.0
LV,2010,0.0
LV,2011,0.0
LV,2012,0.0
LV,2013,0.0
LV,2014,122.5
LV,2015,245.0
LV,2016,367.5
LV,2017,490.0
LV,2018,120.0
LV,2019,60.0
LV,2020,0.0
LV,2021,0.0
LV,2022,0.0
LV,2023,17.0
MT,1980,21.0
MT,1981,21.0
MT,1982,21.0
MT,1983,21.0
MT,1984,21.0
MT,1985,21.0
MT,1986,21.0
MT,1987,21.0
MT,1988,21.0
MT,1989,21.0
MT,1990,21.0
MT,1991,21.0
MT,1992,21.0
MT,1993,21.0
MT,1994,21.0
MT,1995,21.0
MT,1996,21.0
MT,1997,21.0
MT,1998,21.0
MT,1999,21.0
MT,2000,21.0
MT,2001,21.0
MT,2002,21.0
MT,2003,21.0
MT,2004,18.5
MT,2005,16.0
MT,2006,13.5
MT,2007,11.0
MT,2008,8.5
MT,2009,6.0
MT,2010,3.5
MT,2011,1.0
MT,2012,0.0
MT,2013,0.0
MT,2014,4.5
MT,2015,9.0
MT,2016,13.5
MT,2017,18.0
MT,2018,22.5
MT,2019,27.0
MT,2020,20.75
MT,2021,14.5
MT,2022,8.25
MT,2023,2.0
NL,1980,0.0
NL,1981,0.0
NL,1982,0.0
NL,1983,0.0
NL,1984,0.0
NL,1985,522.1666666666666
NL,1986,1044.3333333333333
NL,1987,1566.5
NL,1988,2088.6666666666665
NL,1989,2610.833333333333
NL,1990,3133.0
NL,1991,1756.5
NL,1992,380.0
NL,1993,227.0
NL,1994,3.0
NL,1995,1655.0
NL,1996,827.5
NL,1997,0.0
NL,1998,956.0
NL,1999,834.0
NL,2000,712.0
NL,2001,590.0
NL,2002,468.0
NL,2003,1.0
NL,2004,61.0
NL,2005,124.0
NL,2006,0.0
NL,2007,644.0
NL,2008,55.0
NL,2009,0.0
NL,2010,0.0
NL,2011,13.0
NL,2012,0.0
NL,2013,280.0
NL,2014,8.0
NL,2015,30.0
NL,2016,1041.0
NL,2017,523.5
NL,2018,6.0
NL,2019,47.0
NL,2020,542.0
NL,2021,757.0
NL,2022,785.0
NL,2023,113.0
NO,1980,12.0
NO,1981,26.0
NO,1982,12.0
NO,1983,33.0
NO,1984,20.5
NO,1985,8.0
NO,1986,223.0
NO,1987,438.0
NO,1988,59.0
NO,1989,25.0
NO,1990,248.0
NO,1991,490.0
NO,1992,732.0
NO,1993,89.0
NO,1994,51.0
NO,1995,517.0
NO,1996,43.0
NO,1997,0.0
NO,1998,0.0
NO,1999,38.0
NO,2000,76.0
NO,2001,27.0
NO,2002,21.0
NO,2003,15.0
NO,2004,7.0
NO,2005,165.0
NO,2006,39.0
NO,2007,22.0
NO,2008,14.0
NO,2009,2.0
NO,2010,5.0
NO,2011,269.0
NO,2012,44.0
NO,2013,207.0
NO,2014,54.0
NO,2015,182.0
NO,2016,150.0
NO,2017,135.0
NO,2018,81.0
NO,2019,85.0
NO,2020,164.0
NO,2021,106.0
NO,2022,59.0
NO,2023,597.0
PL,1980,2910.0
PL,1981,1867.0
PL,1982,824.0
PL,1983,308.0
PL,1984,933.0
PL,1985,1558.0
PL,1986,4.0
PL,1987,769.0
PL,1988,612.0
PL,1989,455.0
PL,1990,298.0
PL,1991,22.0
PL,1992,0.0
PL,1993,1.0
PL,1994,2.0
PL,1995,4.0
PL,1996,0.0
PL,1997,6696.0
PL,1998,1.0
PL,1999,20.0
PL,2000,699.5
PL,2001,1379.0
PL,2002,1.0
PL,2003,574.0
PL,2004,309.0
PL,2005,0.0
PL,2006,1.0
PL,2007,109.0
PL,2008,100.0
PL,2009,109.0
PL,2010,3588.0
PL,2011,0.0
PL,2012,6.0
PL,2013,14.0
PL,2014,9.0
PL,2015,7.0
PL,2016,0.0
PL,2017,80.0
PL,2018,890.0
PL,2019,0.0
PL,2020,51.0
PL,2021,30.0
PL,2022,1.0
PL,2023,1.0
PT,1980,17.0
PT,1981,0.0
PT,1982,2.0
PT,1983,832.0
PT,1984,611.0
PT,1985,390.0
PT,1986,0.0
PT,1987,3.0
PT,1988,6.0
PT,1989,6.0
PT,1990,22.285714285714285
PT,1991,38.57142857142857
PT,1992,54.85714285714285
PT,1993,71.14285714285714
PT,1994,87.42857142857142
PT,1995,103.71428571428572
PT,1996,120.0
PT,1997,57.0
PT,1998,119.0
PT,1999,79.33333333333334
PT,2000,39.66666666666667
PT,2001,0.0
PT,2002,0.0
PT,2003,4752.0
PT,2004,1600.0
PT,2005,1921.0
PT,2006,0.0
PT,2007,0.0
PT,2008,0.0
PT,2009,42.0
PT,2010,1558.0
PT,2011,779.0
PT,2012,0.0
PT,2013,723.0
PT,2014,0.0
PT,2015,7.0
PT,2016,276.0
PT,2017,2266.0
PT,2018,180.0
PT,2019,607.0
PT,2020,101.0
PT,2021,3.0
PT,2022,1190.0
PT,2023,42.0
RO,1980,0.0
RO,1981,1.0
RO,1982,0.75
RO,1983,0.5
RO,1984,0.25
RO,1985,0.0
RO,1986,2841.0
RO,1987,2162.75
RO,1988,1484.5
RO,1989,806.25
RO,1990,128.0
RO,1991,441.0
RO,1992,220.5
RO,1993,0.0
RO,1994,13.0
RO,1995,46.0
RO,1996,0.0
RO,1997,456.0
RO,1998,502.0
RO,1999,983.0
RO,2000,3228.0
RO,2001,824.0
RO,2002,1.0
RO,2003,1206.0
RO,2004,99.0
RO,2005,3405.0
RO,2006,139.0
RO,2007,0.0
RO,2008,629.0
RO,2009,0.0
RO,2010,1505.0
RO,2011,768.0
RO,2012,31.0
RO,2013,22.0
RO,2014,616.0
RO,2015,3682.0
RO,2016,0.0
RO,2017,41.0
RO,2018,150.0
RO,2019,317.5
RO,2020,485.0
RO,2021,32.0
RO,2022,1147.0
RO,2023,16.0
SE,1980,10.0
SE,1981,10.0
SE,1982,10.0
SE,1983,10.0
SE,1984,10.0
SE,1985,10.0
SE,1986,10.2
SE,1987,10.4
SE,1988,10.6
SE,1989,10.8
SE,1990,11.0
SE,1991,10.142857142857142
SE,1992,9.285714285714286
SE,1993,8.428571428571429
SE,1994,7.571428571428571
SE,1995,6.714285714285714
SE,1996,5.857142857142858
SE,1997,5.0
SE,1998,105.0
SE,1999,205.0
SE,2000,11.0
SE,2001,6.0
SE,2002,1.0
SE,2003,7.5
SE,2004,14.0
SE,2005,2675.0
SE,2006,1.0
SE,2007,0.0
SE,2008,0.0
SE,2009,0.0
SE,2010,0.0
SE,2011,0.0
SE,2012,0.0
SE,2013,110.0
SE,2014,197.0
SE,2015,17.0
SE,2016,42.33333333333333
SE,2017,67.66666666666666
