Country_ID;Year;Adjusted savings: natural resources depletion (% of GNI);Adjusted savings: net forest depletion (% of GNI);Annual freshwater withdrawals, total (% of internal resources);CO2 emissions (metric tons per capita);Economic and Social Rights Performance Score;Electricity production from coal sources (% of total);Energy imports, net (% of energy use);Fossil fuel energy consumption (% of total);Heat Index 35;Heating Degree Days;Land Surface Temperature;Level of water stress: freshwater withdrawal as a proportion of available freshwater resources;Methane emissions (metric tons of CO2 equivalent per capita);Nitrous oxide emissions (metric tons of CO2 equivalent per capita);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);Renewable energy consumption (% of total final energy consumption);Tree Cover Loss (hectares)
HR;2020;0.305707602;0.174557712;1.763925729;3.860705392;2.438455588;16.79499613;47.41131566;71.30324629;0;4339.67;18.1567503;1.47843486;0.906365124;0.438044737;13.63815962;32.37;6052
HR;2021;0.464334271;0.150922479;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;17.4378017;16.89458258;0.863101563;0.488674145;13.63815962;19.59;5264
HU;2013;0.351947725;0;87.5;4.120313569;2.385528441;21.0734799;54.57649213;69.54963749;0;5114.28;18.6561614;9.067357513;0.756222632;0.604775498;17.48896034;17.18;8952
HU;2014;0.270954029;0;65.38333333;4.117501825;2.380961964;20.80157866;55.60738232;68.1924014;0;4373.9;19.0926014;6.775474957;0.741312739;0.589341355;17.52501676;15.72;15140
HU;2015;0.168194096;0;67.16666667;4.407596931;2.400499264;19.47135983;57.66670548;69.54979369;0;4914.62;19.7815209;6.960276339;0.735737877;0.589565454;17.54829004;15.6;10720
HU;2016;0.118517452;0;65.98333333;4.508691288;2.407556462;16.79499613;47.41131566;71.30324629;0;5119.43;18.4063739;6.837651123;0.736494434;0.643942719;15.73414047;15.34;14021
HU;2017;0.154645722;0;78.942;5.052101734;2.401365278;16.79499613;47.41131566;71.30324629;0;5191.55;18.3431993;8.180518135;0.731409555;0.646186351;16.57651016;14.55;14109
HU;2018;0.228381949;0;81.9743583;5.033254347;2.371213202;16.79499613;47.41131566;71.30324629;0;4698.45;19.2185649;8.494752155;0.722529195;0.651736105;16.63089611;13.6;13799
HU;2019;0.201281428;0;74.38458333;4.836876267;2.438455588;16.79499613;47.41131566;71.30324629;0;4535.36;19.0925344;7.708246978;0.715659658;0.648288074;16.49434933;13.64;14398
HU;2020;0.113013917;0;77.87666667;4.591652907;2.438455588;16.79499613;47.41131566;71.30324629;0;4822.52;18.8436928;8.070120898;0.713450118;0.665063535;13.63815962;14.76;12014
HU;2021;0.319632177;0;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;18.6557123;16.89458258;0.863101563;0.488674145;13.63815962;19.59;13753
IE;2013;0.014218286;0;2.15260771;7.718343463;2.444709883;16.74682307;82.71123564;86.27790247;0;5670.11;12.0312146;5.075927708;3.301281586;2.058072984;8.786223954;7.71;4773
IE;2014;0.015339237;0;2.304535147;7.633852469;2.435775091;15.33245505;84.25580305;84.43758716;0;5321.04;11.9062357;5.434178163;3.352725105;2.056861029;8.522230711;8.78;5718
IE;2015;0.003254468;0;2.456462585;7.887609351;2.41646835;17.34581302;85.66713692;85.34281977;0;5723.4;11.4685326;5.792428617;3.381839679;2.04902957;8.381681865;9.52;4484
IE;2016;0.058951008;0;2.608390023;8.203375787;2.432858842;16.79499613;47.41131566;71.30324629;0;5549.1;11.8441311;6.150679072;3.479284847;2.0718581;7.838263466;8.61;9388
